,id,year,release_years,movieLength,rating_kp,ageRating,votes_kp,budget,audience_count,fees_russia,sequelsAndPrequels,ticketsOnSale,actor,designer,writer,producer,operator,director,composer,editor,type_movie,num_actors,num_countries,num_genres,is_sequel,is_adult
104,7876675,2023,2022.5,32.0,0.0,12.0,6,0.0,114.0,2508.0,0,False,1,399,3,4,185,1,374,554,True,4,1,4,0,0
124,7860604,2025,2022.5,60.0,0.0,12.0,27,0.0,237.0,2209.0,0,False,83,399,1,2,1,1,374,554,True,0,1,3,0,0
127,6706157,2025,2022.5,90.0,7.968,16.0,665,0.0,6489.0,70112.0,0,True,2,399,2,2,1,1,2,554,True,17,1,3,0,0
201,7605663,2024,2022.5,93.0,0.0,12.0,437,0.0,40323.0,585560.0,0,False,1,1,2,2,2,1,4,1,True,5,1,3,0,0
245,7412087,2023,2022.5,58.0,0.0,6.0,73,0.0,616.0,4699.0,2,False,19,2,2,1,185,2,2,554,False,1,1,1,1,0
340,7337720,2024,2022.5,94.0,0.0,16.0,349,0.0,4191.0,29326.0,0,True,1,1,1,1,1,2,6,3,True,11,1,1,0,0
360,7288569,2024,2022.5,92.0,0.0,12.0,32,0.0,740.0,18615.0,0,True,83,399,85,2,1,1,1,1,True,0,1,1,0,0
393,7239015,2024,2022.5,91.0,0.0,16.0,90,0.0,1453.0,5746.0,0,False,83,399,85,1,1,2,2,554,True,0,1,3,0,0
394,7238540,2025,2022.5,120.0,7.458,16.0,469,0.0,25967.0,221193.0,0,False,26,399,2,2,185,2,374,554,True,25,1,2,0,0
398,7231513,2025,2022.5,91.0,0.0,6.0,1484,0.0,62007.0,468263.0,1,False,2,399,1,1,185,1,374,554,False,11,2,1,1,0
470,7130109,2024,2022.5,61.0,0.0,12.0,34,0.0,201.0,1409.0,0,False,83,2,3,1,2,3,1,554,True,0,1,1,0,0
477,7098675,2025,2022.5,74.0,0.0,18.0,290,0.0,214.0,1058.0,0,False,1,3,1,1,1,1,1,1,True,6,1,2,0,1
515,7006091,2024,2022.5,88.0,5.939,18.0,6974,0.0,5428.0,27667.0,0,False,1,2,8,3,3,2,2,554,True,17,1,2,0,1
641,6712512,2025,2022.5,103.0,7.408,16.0,2171,0.0,3123.0,38104.0,0,False,11,1,3,21,1,3,11,554,True,20,1,2,0,0
644,6706155,2024,2022.5,100.0,7.533,18.0,169185,390000000.0,2603879.0,11049319.0,0,False,3,6,8,8,3,3,2,9,True,43,1,2,0,1
655,6691920,2024,2022.5,92.0,0.0,16.0,251,0.0,21010.0,379145.0,0,False,1,1,3,2,10,2,4,1,True,6,1,1,0,0
670,6640649,2023,2022.5,58.0,0.0,12.0,57,0.0,181.0,557.0,0,False,83,399,85,43,185,1,374,554,True,0,1,1,0,0
709,6572625,2024,2022.5,73.0,6.756,6.0,13196,0.0,398.0,2890.0,0,False,2,399,1,1,12,1,1,554,True,21,1,2,0,0
782,6441718,2025,2022.5,92.0,6.328,16.0,535,0.0,20042.0,114825.0,0,True,3,1,2,48,9,12,16,8,True,7,1,2,0,0
790,6440213,2025,2022.5,104.0,7.304,16.0,4162,0.0,6724.0,643707.0,0,True,14,1,2,3,1,2,3,10,True,23,1,2,0,0
800,6429304,2024,2022.5,23.0,8.412,0.0,99578,0.0,151915.0,774153.0,1,False,3,399,3,3,185,4,8,554,False,10,1,3,1,0
801,6429450,2024,2022.5,113.0,0.0,12.0,307,0.0,32318.0,309367.0,0,False,3,2,85,2,185,3,374,1,True,7,1,3,0,0
818,6405962,2024,2022.5,70.0,0.0,12.0,667,0.0,324.0,79602.0,0,False,83,399,2,2,10,2,374,6,True,0,1,1,0,0
852,6383826,2024,2022.5,85.0,6.739,18.0,12174,0.0,213.0,2612.0,0,False,1,399,2,1,1,2,1,2,True,15,1,2,0,1
875,6380879,2024,2022.5,90.0,6.152,18.0,1055,0.0,184.0,9016.0,0,False,4,1,1,11,1,1,1,554,True,14,1,1,0,1
900,6355103,2024,2022.5,81.0,7.542,18.0,1507,0.0,106.0,2702.0,0,False,1,399,1,1,1,1,2,1,True,2,1,2,0,1
906,6340452,2024,2022.5,88.0,5.907,18.0,5097,0.0,252.0,1153.0,0,False,18,399,1,1,1,1,2,554,True,5,1,1,0,1
907,6338665,2024,2022.5,91.0,0.0,16.0,623,0.0,104.0,3779.0,0,False,1,1,3,4,3,1,2,2,True,11,1,3,0,0
946,6299890,2024,2022.5,85.0,5.112,6.0,1239,0.0,6626.0,32271.0,1,False,3,4,2,7,2,2,374,554,True,15,1,1,1,0
947,6299997,2025,2022.5,83.0,5.495,18.0,960,0.0,33239.0,328221.0,0,False,2,4,2,6,7,4,12,554,True,22,1,2,0,1
1006,6224943,2025,2022.5,120.0,6.899,12.0,44472,1000000000.0,536798.0,7776815.0,0,True,1,12,5,2,14,1,11,554,True,50,1,3,0,0
1026,4375556,2024,2022.5,93.0,4.762,12.0,1553,0.0,2862.0,14034.0,0,False,1,399,1,1,1,1,374,554,True,22,1,2,0,0
1044,5902043,2024,2022.5,95.0,7.504,18.0,77874,0.0,1959.0,12582.0,0,False,3,1,2,7,3,6,11,5,True,6,1,2,0,1
1054,6116261,2024,2022.5,77.0,5.418,16.0,18195,0.0,183586.0,1635137.0,0,False,1,2,2,3,2,4,11,10,True,22,1,1,0,0
1055,6095068,2024,2022.5,91.0,7.538,12.0,7767,0.0,80832.0,788427.0,0,False,3,2,19,19,27,7,2,9,True,27,1,2,0,0
1061,5965476,2025,2022.5,96.0,0.0,6.0,2193,0.0,15001.0,186581.0,0,False,6,399,3,4,2,1,1,3,True,20,1,4,0,0
1098,5965417,2025,2022.5,97.0,0.0,16.0,4445,0.0,18027.0,155367.0,0,False,1,1,2,1,1,1,1,554,True,11,1,2,0,0
1109,6066154,2025,2022.5,120.0,6.002,18.0,3105,0.0,15569.0,116887.0,0,False,2,1,3,2,2,9,2,554,True,21,1,1,0,1
1114,6038779,2025,2022.5,91.0,6.054,12.0,6136,0.0,57760.0,558961.0,0,False,1,4,1,2,12,2,12,17,True,13,1,3,0,0
1126,5951708,2023,2022.5,114.0,7.386,6.0,3825,0.0,6251.0,23986.0,0,False,1,1,1,4,3,1,13,554,True,19,1,2,0,0
1190,5639024,2025,2022.5,94.0,6.308,12.0,3326,0.0,17102.0,182185.0,0,False,17,1,1,7,12,1,11,21,True,29,1,2,0,0
1210,6013523,2024,2022.5,80.0,0.0,12.0,261,0.0,29.0,6356.0,0,False,83,399,1,1,1,1,374,1,True,0,1,1,0,0
1218,6156078,2024,2022.5,100.0,0.0,18.0,230,0.0,647.0,3009.0,0,False,6,1,1,7,12,4,13,554,True,13,1,1,0,1
1255,5996169,2024,2022.5,113.0,6.152,16.0,949,0.0,1202.0,30693.0,0,False,1,6,3,1,18,3,1,26,True,4,2,1,0,0
1261,5951707,2024,2022.5,81.0,0.0,16.0,25,0.0,78.0,227.0,0,False,1,399,85,2,185,1,374,554,True,3,1,1,0,0
1269,5995316,2024,2022.5,103.0,6.119,18.0,285080,0.0,143685.0,1604017.0,0,False,1,2,1,8,8,4,12,3,True,33,1,2,0,1
1279,5963824,2024,2022.5,68.0,7.059,16.0,4070,0.0,928.0,22960.0,0,False,1,2,1,1,1,1,374,554,True,5,1,2,0,0
1287,5627252,2024,2022.5,96.0,6.572,6.0,28960,0.0,51117.0,13628816.0,11,False,14,2,1,3,18,5,374,2,True,46,1,1,1,0
1289,5631362,2024,2022.5,80.0,0.0,18.0,372,0.0,471.0,6799.0,0,False,1,399,85,1,2,1,1,3,True,16,1,1,0,1
1317,6043211,2025,2022.5,92.0,6.488,12.0,1384,0.0,12449.0,107470.0,0,False,1,12,1,13,5,1,11,8,True,11,1,2,0,0
1324,6026140,2024,2022.5,87.0,0.0,12.0,638,0.0,2031.0,18102.0,0,False,1,2,1,1,1,1,2,554,True,16,1,1,0,0
1334,6138826,2024,2022.5,94.0,0.0,12.0,138,0.0,114.0,1072.0,0,False,83,399,85,1,3,1,1,554,True,0,1,1,0,0
1345,5900038,2024,2022.5,114.0,5.296,16.0,1132,0.0,7232.0,46885.0,0,False,1,1,1,2,10,3,4,3,True,23,1,2,0,0
1360,5698772,2024,2022.5,99.0,4.695,18.0,5329,0.0,2650.0,15159.0,0,False,1,1,1,1,11,1,374,3,True,23,1,3,0,1
1385,6099741,2024,2022.5,76.0,6.863,18.0,112425,0.0,18772.0,165841.0,0,False,2,2,2,2,6,2,7,1,True,22,1,2,0,1
1386,6098600,2024,2022.5,87.0,0.0,12.0,181,0.0,1708.0,6180.0,0,False,1,11,4,22,5,1,6,11,True,9,1,2,0,0
1402,6138823,2024,2022.5,80.0,0.0,18.0,133,0.0,12868.0,53217.0,1,False,2,1,3,1,3,1,1,554,True,4,1,1,1,1
1415,5958246,2024,2022.5,99.0,7.478,6.0,369094,0.0,486818.0,4920952.0,1,False,1,2,1,9,3,3,9,1,True,26,1,4,1,0
1418,6095404,2025,2022.5,94.0,7.926,12.0,3070,0.0,44878.0,333790.0,0,False,10,1,4,13,6,4,4,2,True,9,1,3,0,0
1420,5940934,2025,2022.5,79.0,0.0,12.0,2001,0.0,4075.0,59263.0,0,False,1,399,2,1,1,2,374,1,True,13,1,5,0,0
